steps	elapsed	mean	median	stdev
1000000	799.1865322589874	1.2	1.5	1.1352924243950933
2000000	1575.7219505310059	1.5	0.0	2.273030282830976
3000000	2359.6249346733093	2.1	3.0	1.911950719959998
4000000	3109.272673845291	1.6	2.0	1.4298407059684812
5000000	3859.516502380371	2.0	2.0	2.0548046676563256
6000000	4602.4465317726135	1.8	1.0	1.9888578520235065
7000000	5348.210222244263	2.5	2.0	0.97182531580755
8000000	6110.1892149448395	3.5	3.5	2.173067468400883
9000000	6861.104922533035	5.5	4.5	4.503085362035432
10000000	7619.673486471176	13.0	12.0	4.2946995755750415
11000000	8378.648483276367	18.9	19.0	5.586690532964138
12000000	9167.731533527374	24.5	21.5	11.057928276932246
13000000	10027.934562683105	73.6	72.5	26.95757984521443
14000000	10791.431033372879	107.2	97.5	50.78888767349716
15000000	11552.96664738655	95.8	85.0	71.8374708785201
16000000	12357.831614017487	251.2	269.0	65.97945808271608
17000000	13152.097360610962	232.0	249.0	99.43395351242508
18000000	13918.015005588531	246.4	273.5	100.97216338069506
19000000	14744.782504558563	362.7	375.5	51.497680638171566
20000000	15498.439815044403	377.1	388.0	41.420472662145656
21000000	16318.818217515945	340.7	382.0	113.92204937295209
22000000	17040.97575569153	248.8	265.0	116.37468224088377
23000000	17841.953941345215	350.8	361.5	51.100771901106235
24000000	18606.147523880005	373.8	397.0	61.31847646146759
25000000	19452.10493350029	375.6	415.0	100.00577761087385
26000000	20231.817700862885	430.5	412.0	77.02849400636681
27000000	21134.255215406418	433.8	417.0	100.2505749498614
28000000	21763.75692296028	299.8	328.0	119.36014596356878
29000000	22626.56786084175	492.9	412.5	183.22023784384615
30000000	23399.90938782692	373.9	387.5	211.82091492579292
31000000	24072.50167989731	363.3	380.5	82.33542507464342
32000000	24852.809225320816	376.7	387.5	55.63581979664221
33000000	25615.238379001617	311.6	380.0	137.93412276236154
34000000	26598.047915697098	435.4	421.5	53.74879843618212
35000000	27231.892096042633	414.8	389.5	138.989847750754
36000000	27887.654467582703	324.3	399.5	157.67339661464771
37000000	28814.492196321487	402.5	419.0	49.80907993975038
38000000	29534.802098751068	376.4	422.0	109.01804132038573
39000000	30364.29454421997	435.0	428.0	104.94654724085865
40000000	31047.65421795845	412.3	419.5	18.1906569425076
41000000	31737.017671108246	389.5	394.0	65.46457905700694
42000000	32467.050805568695	409.3	423.5	48.087998040629174
43000000	33230.65163731575	344.2	414.5	133.11799277332872
44000000	34009.13779783249	457.3	425.5	115.42294206766502
45000000	34763.50703406334	410.3	427.5	40.996070272378276
46000000	35484.54351043701	414.1	414.5	12.269655432995844
47000000	36283.29621911049	459.1	426.5	145.52010170419754
48000000	37148.736817359924	536.3	446.5	175.72140197230132
49000000	37665.218223810196	413.3	417.0	13.216572088774676
50000000	38502.0075905323	453.7	421.5	133.0806355393434
51000000	39192.341354846954	468.3	430.5	124.23816733283786
52000000	40030.84110355377	415.3	422.5	17.888854382299364
53000000	40686.36572384834	415.9	418.0	73.99316785277469
54000000	41383.44816946983	448.7	408.0	133.6006071177157
57000000	43803.362179756165	422.1	427.5	50.61060494929233
58000000	44451.59215736389	423.0	424.5	17.10100711784088
59000000	45240.43768501282	409.0	427.5	46.401628323918885
60000000	46110.308336257935	456.9	421.0	139.6896957943252
61000000	46937.206632852554	486.3	416.5	196.8372424110844
62000000	47675.98979473114	419.1	422.5	37.495036708580216
63000000	48513.08631014824	426.1	412.0	33.69289407443521
64000000	49318.95145368576	459.1	427.5	151.07352882325583
65000000	50040.2566986084	466.0	429.5	99.69509070717129
66000000	50993.864820718765	528.6	472.0	226.0335275032347
67000000	51737.7411031723	463.6	430.0	127.71774435144954
68000000	52501.34305858612	422.3	428.0	68.30169999511156
69000000	53283.210359334946	412.5	422.5	122.31948150460562
70000000	54116.87993979454	459.0	430.5	146.60832172833847
71000000	54859.40275526047	423.4	424.5	27.162883172119678
72000000	55693.9102909565	437.6	424.5	45.792284648544594
73000000	56525.86289215088	447.0	434.5	49.416596402423345
74000000	57244.09581017494	469.1	432.0	151.229369575563
75000000	58063.31164121628	417.6	425.5	31.931175988365975
76000000	58799.664543151855	416.7	424.0	20.144202364176373
77000000	59633.22558784485	426.4	427.5	10.490207073477837
78000000	60394.60213589668	513.1	413.0	195.16229713298168
79000000	61230.48169326782	489.9	425.0	165.88714369849293
80000000	61839.64669966698	417.8	422.0	21.627143439052077
