steps	elapsed	mean	median	stdev
1000000	1176.0026223659515	150.5	130.0	71.23708459940106
2000000	2279.606765270233	218.5	195.0	82.63204920341475
3000000	3405.7928512096405	203.0	210.0	32.076297929918425
4000000	4499.463195800781	187.0	180.0	57.4552966323481
5000000	5575.656061410904	259.0	235.0	136.459192109257
6000000	6694.54666686058	318.0	287.5	179.53953448877058
7000000	7828.923171281815	351.0	305.0	181.62537757091596
8000000	8827.748558998108	333.5	322.5	114.26212554181431
9000000	9897.704538345337	311.0	322.5	131.90484785969352
10000000	10987.551244974136	379.0	362.5	88.49984306326324
11000000	12111.16355252266	490.5	515.0	97.39524286808538
12000000	13139.165969610214	448.5	482.5	113.38356729849936
13000000	14198.187840223312	367.0	365.0	54.324130099902305
14000000	15247.866738319397	386.0	337.5	125.80408048496147
15000000	16321.860386371613	555.0	532.5	211.18712081942877
16000000	17356.161630392075	402.5	362.5	84.63155439905378
17000000	18419.353372573853	433.5	405.0	148.38107845828742
18000000	19517.881631851196	572.5	587.5	170.18372425117508
19000000	20565.545799016953	504.0	392.5	223.69125547901461
20000000	21651.335790395737	603.0	622.5	203.74548393086462
21000000	22765.650399684906	834.5	835.0	298.63997276542426
22000000	23780.1443631649	579.0	585.0	249.15189476836548
23000000	24812.381363153458	553.5	535.0	160.07029705726168
24000000	25943.478595733643	805.5	820.0	266.4420929374503
25000000	27022.40669798851	819.0	800.0	356.03370626950476
26000000	28154.23360300064	775.0	547.5	532.2123636294068
27000000	29255.90105676651	613.5	572.5	229.7226588736949
28000000	30400.700807094574	646.5	482.5	406.20910050531035
29000000	31572.145109176636	772.0	632.5	334.54944826338203
30000000	32690.86220598221	945.0	972.5	311.4839036326311
31000000	33758.00896549225	830.5	602.5	442.72797015272886
32000000	34861.88159298897	757.0	602.5	344.4415770489968
33000000	35916.9765996933	985.0	950.0	397.50611455814254
34000000	37010.65085887909	962.0	950.0	381.9118571956973
35000000	38139.09030032158	1014.5	900.0	490.8521501769482
36000000	39226.673714637756	976.5	607.5	536.9515289525158
37000000	40325.832810640335	1031.0	820.0	501.2639579658162
38000000	41391.046285390854	788.0	680.0	318.21725632376103
39000000	42567.62489628792	1064.0	1017.5	455.73384045222423
40000000	43663.877554655075	952.5	862.5	410.55687114508805
41000000	44881.854682445526	1406.5	1165.0	795.8889160345599
42000000	45882.31720352173	891.0	622.5	492.4586841102059
43000000	47044.14443182945	1340.0	1127.5	765.2740975914737
44000000	48123.50830435753	1205.5	1235.0	508.775490761888
45000000	49227.012467861176	1044.5	935.0	557.8751851644078
46000000	50345.83370089531	1240.5	1217.5	541.9278857314258
47000000	51417.79047751427	1269.0	1165.0	778.919479507064
48000000	52607.29307818413	1698.0	1797.5	543.8198231032039
49000000	53671.907301187515	1598.5	1710.0	466.9347444296211
50000000	54812.021178245544	1863.5	1720.0	510.8873000313605
51000000	55892.94242429733	1501.0	1432.5	484.23364424854066
52000000	57041.53133392334	2016.0	1927.5	670.7657315834394
53000000	58073.72801113129	1643.0	1585.0	496.4887824625156
54000000	59165.362850666046	1382.0	1422.5	681.1395680116602
55000000	60335.68020105362	1565.0	1645.0	475.94350738530113
56000000	61488.63900256157	2096.0	2015.0	365.1468502153924
57000000	62582.88352417946	1996.0	2062.5	504.8751220736558
58000000	63649.29801917076	2022.0	1895.0	680.4051080871683
59000000	64736.771109342575	1568.0	1610.0	177.81388522209895
60000000	65917.98326063156	2057.5	2150.0	778.325303313324
61000000	66951.23457431793	2082.5	1997.5	567.936078171557
62000000	68049.10905337334	1737.0	2025.0	718.3592416054797
63000000	69085.28632044792	1959.0	1940.0	356.23650071889665
64000000	70181.8262295723	1822.5	1817.5	756.8144128883616
65000000	71294.90933918953	2032.0	2122.5	683.3585361205996
66000000	72485.66170525551	2507.0	2705.0	515.5051460029817
67000000	73494.54617547989	1775.0	1837.5	858.5064550330029
68000000	74578.25437927246	2038.0	2462.5	922.8434320078352
69000000	75629.58755373955	2085.0	2070.0	778.1209560358996
70000000	76678.21772170067	1960.5	1587.5	915.0818117645123
71000000	77790.33036136627	2420.5	2567.5	455.76827689322806
72000000	78800.69010519981	1789.0	1760.0	604.4639498486792
73000000	79914.5376329422	2436.0	2805.0	706.0327345259724
74000000	80936.40157341957	1924.5	1935.0	821.6191669840447
75000000	81944.25549578667	1962.0	2177.5	869.6238011666628
76000000	83064.10873103142	2335.5	2555.0	695.3314557341221
77000000	84099.02462172508	2615.0	2905.0	847.9648839689321
78000000	85200.52754330635	2610.5	2797.5	532.5382093751061
79000000	86191.62391448021	1999.5	2075.0	919.0981388779377
80000000	87095.2680015564	2278.0	2462.5	637.1908836622055
